model_name,bucket,HitRate@10,Recall@20,MRR@20,NDCG@20
cooccurrence,prefix_1,0.20039469650521152,0.24411787247087677,0.10516626349028053,0.13650062611849217
cooccurrence,prefix_2,0.11432225063938618,0.15554134697357203,0.053757565963631425,0.07625392300603476
cooccurrence,prefix_3_5,0.12600233407371156,0.17046267364379022,0.058345692695683876,0.08309703021463158
cooccurrence,prefix_6_plus,0.060144524735964426,0.08904947192884936,0.026126968473585185,0.03978982496974903
markov,prefix_1,0.21656575720416923,0.23812078479460455,0.12380267487789778,0.15038169796973203
markov,prefix_2,0.10907928388746803,0.12587382779198636,0.05602604706569297,0.07194702038395102
markov,prefix_3_5,0.11000263524451305,0.12513646801942552,0.057833031227992784,0.07324247279623086
markov,prefix_6_plus,0.06963127663516769,0.07989623865110246,0.03578750606999015,0.04586969504641849
popularity,prefix_1,0.007242489270386266,0.01059549356223176,0.0015951953682096422,0.003548500662768687
popularity,prefix_2,0.003964194373401534,0.005711849957374254,0.0008478685224625221,0.0019012107116206697
popularity,prefix_3_5,0.004517562022361932,0.006475172232052103,0.0009196870850219878,0.0021169652187453263
popularity,prefix_6_plus,0.005076894571057995,0.00663331480452103,0.001211918130166486,0.0024122821908388356
session_knn_sequence,prefix_1,0.2378525444512569,0.2791040772532189,0.1281092323263982,0.16250344560332325
session_knn_sequence,prefix_2,0.1403239556692242,0.18128729752770673,0.06481759472208765,0.09068887267656535
session_knn_sequence,prefix_3_5,0.15307005985769678,0.198772728983925,0.0702947363194589,0.09881691906138229
session_knn_sequence,prefix_6_plus,0.08834537706133037,0.12499536779692422,0.03826733822011126,0.057259729922202206
session_knn_unordered,prefix_1,0.253525444512569,0.29470033721643163,0.13550262412494407,0.17181902261923251
session_knn_unordered,prefix_2,0.14744245524296676,0.19160272804774084,0.0673790419011601,0.09497317870405636
session_knn_unordered,prefix_3_5,0.15329593795881488,0.20460791326280917,0.06838573916362378,0.09852136202757568
session_knn_unordered,prefix_6_plus,0.06640726329442283,0.09949972206781545,0.02854719372325473,0.043923436176835966
weighted_markov,prefix_1,0.21656575720416923,0.23812078479460455,0.12380267487789778,0.15038169796973203
weighted_markov,prefix_2,0.13286445012787723,0.16206308610400683,0.06498683798255528,0.08684620822280123
weighted_markov,prefix_3_5,0.14715958287843994,0.18266009110416745,0.0720408673430268,0.09678136480423313
weighted_markov,prefix_6_plus,0.08934593292569946,0.11958495460440986,0.041325969426944,0.05858537341381777
